alpha0	alpha7	alpha14	alpha21	alpha28	alpha35	alpha42	alpha49	alpha56	alpha63	alpha70	alpha77	alpha84	alpha91	alpha98	alpha105	alpha112	alpha119
YHR089C	0.44	-0.51	-0.43	-0.02	0.07	-0.41	0.42	-0.15	0.4	0	0.09	-0.15	0.26	-0.04	0.05	-0.15	0.11	0.02
YGL212W	-0.02	-0.38	-0.17	0.03	0.06	0.08	0.32	0.14	-0.01	0.2	-0.38	0.01	0.19	-0.11	0.03	-0.06	0.25	-0.17
YGL004C	0.17	0.25	0.25	0.16	0.03	-0.26	0.17	-0.19	0.04	-0.14	0.07	-0.01	0.11	-0.1	-0.12	-0.12	-0.07	-0.24
YOR146W	0.11	-0.9	-0.8	-0.17	NA	0.2	0.41	0.1	0.36	0.15	-0.27	0.06	0.16	0.24	-0.15	0.06	0.1	0.33
YPL272C	-0.21	-0.05	0.31	-0.05	-0.04	-0.11	0.22	NA	0.04	-0.12	0.07	0.01	-0.19	-0.18	-0.11	-0.09	0.12	0.37
YLR063W	0.08	-0.82	0.08	-0.13	0.41	-0.05	0.53	NA	0.23	-0.15	-0.15	-0.23	0.18	-0.3	0.15	0.04	0.23	-0.11
YGL114W	-0.29	-0.04	-0.07	0.01	-0.39	0.19	-0.02	0.22	0.2	0.29	-0.02	-0.1	-0.04	-0.17	-0.01	0.16	0.04	0.02
YMR313C	-0.19	-0.01	-0.04	-0.11	0.3	-0.04	-0.05	-0.1	0.04	-0.16	0.71	-0.31	-0.18	-0.42	0.54	0.34	-0.44	0.14
YDR179W-A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YFL001W	0.21	-0.72	0.24	-0.47	0.09	0.21	0.09	0.16	0.24	-0.15	0.24	-0.2	-0.13	-0.22	0.13	-0.09	0.18	0.21
YPL193W	0.64	0.21	-0.08	0.1	-0.02	0.23	0.07	0.06	-0.08	-0.18	-0.29	-0.28	-0.13	-0.26	-0.42	-0.28	0.14	0.55
YFL007W	0.14	0.14	0.1	0.28	-0.17	-0.14	-0.16	0.14	0.65	0.1	-0.08	0.03	-0.24	-0.38	0.16	-0.11	-0.31	-0.14
YMR257C	-0.05	0.26	0.19	-0.09	-0.37	-0.07	0.04	0.16	-0.01	0.44	-0.19	0.29	-0.03	NA	-0.65	0.11	0.01	-0.03
YLR169W	-0.07	0.35	-0.09	-0.3	-0.16	-0.03	0.5	0.15	0.22	-0.18	-0.14	-0.18	-0.2	-0.37	0.04	0.03	0.06	0.37
YLR040C	0.53	0.05	-0.08	-0.38	0.05	0.07	0.18	0.11	-0.13	0.42	-0.38	-0.15	0.05	-0.25	-0.02	0	0.07	-0.13
YOL096C	0.03	-0.04	-0.03	0.12	-0.34	0.04	-0.01	0.17	0.14	-0.06	-0.12	NA	0.2	NA	-0.06	NA	-0.04	NA
YML114C	0.08	-0.32	0.05	-0.21	-0.06	-0.28	0.26	0.23	0.02	0.06	-0.01	0.14	-0.14	0.03	-0.19	0.23	0.26	-0.12
YJR160C	0.03	-0.23	0.53	0.28	0.15	-0.11	-0.08	0.11	-0.16	-0.42	-0.18	0.08	-0.08	-0.15	-0.25	0.01	0.24	0.23
YKL179C	0	0.13	-0.04	-0.01	NA	0.01	-0.08	-0.08	0.05	-0.03	0.47	-0.11	-0.27	-0.04	0.17	0.31	-0.25	-0.23
YIL161W	0.08	-0.13	-0.15	-0.08	0.05	-0.03	0.21	0.07	0.02	-0.13	-0.23	0	0.23	-0.19	-0.06	-0.01	0.31	0.05
YJL032W	0.35	0.11	0.17	-0.17	0.16	-0.18	0.19	0.12	0.13	-0.25	-0.12	-0.32	-0.1	-0.42	0.16	-0.12	0.3	0.01
YGL069C	-0.23	-0.27	0.13	-0.03	0.36	-0.77	0.32	0.3	0.11	-0.14	0.21	0.03	-0.07	0.13	0.19	-0.15	0.24	-0.36
YLR135W	0.11	-0.17	0.2	0.23	0.41	0.28	0.15	-0.12	-0.26	-0.13	-0.11	-0.04	-0.2	-0.2	-0.12	-0.04	0.18	-0.16
YJL214W	-0.07	0.07	0.07	0.02	0.08	NA	-0.13	-0.09	-0.11	0.25	0.08	-0.04	0.48	0.08	-0.18	-0.18	-0.18	-0.15
YEL039C	0.13	0.22	0.42	0.19	0.18	0	0.21	-0.1	-0.1	-0.17	-0.07	-0.04	0.03	-0.12	-0.27	-0.19	0.04	-0.37
YEL030W	-0.34	-0.1	-0.02	0.15	-0.22	0.53	-0.06	0.27	0.16	0.31	-0.03	-0.09	-0.25	-0.13	-0.21	0.17	-0.13	0
YGL111W	0.15	NA	-0.61	-0.4	-0.12	-0.09	0.06	0.16	0.49	-0.2	0.39	-0.11	0.32	-0.2	0.14	0.19	-0.12	-0.06
YBL084C	0.23	0.05	0.33	0.07	-0.1	-0.02	-0.08	-0.2	-0.28	-0.17	-0.09	-0.37	0.22	NA	0.42	0.26	-0.21	-0.04
YKL049C	-0.23	-0.12	-0.04	0.21	0.16	0.41	0.09	0.1	-0.25	0	-0.38	0.02	0.05	-0.16	-0.04	-0.08	0.4	-0.14
YHL031C	-0.01	0.07	0.17	0.12	-0.08	0.39	0.07	0.2	-0.06	-0.08	0.14	-0.13	0.06	-0.26	-0.58	0.01	NA	-0.04
YLR440C	0.11	-0.23	0.05	-0.59	0.08	-0.04	0.34	0.22	0.16	0.16	-0.15	0.13	-0.04	-0.25	-0.09	0.01	0.1	0.03
YDR526C	-0.57	-0.32	-0.32	-0.24	-0.26	0.28	-0.07	0.16	0.15	0.44	0.08	0.1	-0.03	0.04	-0.16	0.32	0.08	0.32
YGL058W	-0.11	0.14	-0.3	0.03	-0.34	0.2	-0.25	0.22	0.11	0.11	-0.01	0	0.09	0.03	-0.12	0.11	0	0.08
YER124C	0.92	0.19	-0.12	-1.24	-0.29	-0.74	-0.69	-1.08	-1.63	-1.08	0.31	1.59	1.36	0.92	0.71	0.58	0.53	-0.24
YPR051W	-0.07	0.23	-0.11	-0.33	-0.18	0.06	0.23	0	0.21	0.31	-0.21	0.1	0.28	-0.31	-0.28	0	NA	0.1
YDR344C	0.1	0.19	0.02	0.14	-0.09	-0.09	0.08	-0.21	-0.07	0.26	-0.02	0.15	0.1	-0.14	-0.28	-0.23	0.14	-0.06
YDR188W	-0.3	-0.37	-0.35	-0.18	-0.13	-0.02	-0.2	-0.07	0.53	0.36	0.56	0.03	0	-0.18	0.02	0.32	-0.05	0.03
YEL041W	0	0.13	0.5	-0.06	0.07	-0.21	0.1	0.23	0.05	0.07	-0.31	-0.08	0.11	0.13	-0.46	-0.37	0.14	-0.03
YLR108C	-1.04	0.27	-0.09	NA	0.37	0.33	0.51	0.5	0.39	-0.02	-0.21	-0.44	-0.11	-0.02	0.16	-0.22	-0.6	0.21
YER090W	-0.08	-0.25	-0.1	-0.08	-0.21	0.06	-0.08	0.02	0.25	-0.2	0.41	-0.07	0.07	-0.04	0.05	0.3	-0.2	0.15
YPR114W	-0.14	-0.54	0.03	-0.09	0.27	0.13	0.18	0.06	0.22	-0.33	0.1	-0.12	0.03	-0.02	0.19	-0.05	0.34	-0.27
YJR094W-A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YNL185C	-0.15	-0.17	0.17	0.03	0.32	-0.21	0.36	-0.07	0.07	-0.07	-0.07	0.03	0.24	-0.21	-0.04	-0.21	0.3	-0.3
YAL032C	-0.23	0.06	-0.12	-0.04	-0.26	-0.12	0.02	0.15	-0.08	-0.12	0.02	0.7	-0.15	-0.15	0.03	0.33	-0.08	0.02
YIL098C	0.06	0.35	-0.26	NA	-0.19	0.36	-0.13	0.24	0.03	0.01	0.06	0.14	0.07	-0.07	-0.41	-0.12	-0.05	-0.08
YNL247W	-0.17	-0.28	NA	-0.03	-0.17	0.08	0.12	0.05	0.03	0.09	0	0.06	0.05	0.02	0.03	0.11	-0.22	0.2
YNR041C	0	-0.3	-0.01	-0.17	0.16	-0.3	0.35	-0.21	0.11	0.07	0.14	-0.13	0.21	-0.21	0.02	-0.19	0.44	NA
YLR049C	-0.97	NA	0.37	0.64	0.12	-0.3	-0.86	-0.86	-0.86	0.75	1.42	1.11	0.67	0.01	-0.03	-0.4	-0.69	-0.14
YOR356W	-0.07	NA	-0.09	0.47	-0.07	0.75	-0.06	-0.53	0.08	-0.02	0.03	-0.11	0.34	-0.39	0.09	-0.37	0.08	-0.11
YNR010W	0.13	0.04	-0.15	0.13	0.02	0.23	0.1	-0.03	-0.01	0.01	-0.39	0.42	-0.11	NA	-0.37	-0.13	0.1	0.01
YGL249W	-0.28	-0.13	0.21	-0.23	0.27	-0.19	0.22	0.08	0.46	-0.31	NA	0.08	0.13	-0.39	0.02	0.42	-0.39	NA
YKL197C	-0.01	-0.33	0.1	-0.09	0.26	-0.22	0.25	0.05	0	NA	0.37	0.02	0	-0.33	0.27	-0.09	0.12	-0.37
YBR011C	0.04	-0.66	0.27	-0.05	0.34	0.33	0.06	0.04	0.04	-0.08	0.24	-0.15	-0.17	-0.06	0.12	0.09	0.04	-0.44
YOR088W	-0.1	0.03	0.14	-0.27	-0.08	0.04	0.35	-0.01	0.07	-0.01	-0.11	-0.13	0.04	-0.35	0.14	-0.23	0.2	0.28
YOR253W	0.16	-0.43	0.18	0.12	0.27	0.45	0.24	-0.09	0.03	-0.25	0.03	-0.34	0.08	-0.41	0.18	-0.29	0.07	0.01
YOR257W	0.19	-0.03	0.11	-0.12	0.23	0.22	0.04	0.03	0.06	0.08	0.03	NA	-0.08	-0.3	-0.1	-0.18	-0.53	0.35
YLR090W	0.08	0.09	-0.1	NA	0.12	-0.17	0.24	-0.14	0.18	0.08	-0.04	0.11	0.04	-0.21	-0.1	0.01	-0.14	-0.04
YIR011C	0.29	0.33	-0.24	-0.04	-0.43	0.3	-0.28	0.02	0.06	0.25	-0.07	-0.09	0.09	-0.24	-0.11	0.13	-0.09	0.14
YIL151C	-0.35	0.72	-0.08	0.37	-0.29	-0.03	-0.16	-0.23	0.04	0.04	0.01	-0.08	-0.18	-0.52	0.13	0.21	-0.2	0.61
YML102W	-0.61	-0.1	0.21	0.38	0.07	0.05	-0.1	-0.42	-0.16	0.27	0.13	0.38	0.29	-0.02	-0.27	-0.06	-0.06	0.02
YKR093W	0.4	0.14	0.14	NA	0.09	-0.25	0.14	-0.47	-0.06	0.07	0.11	0.04	0.26	-0.31	0.04	-0.22	-0.06	-0.06
YCRX03C	-0.25	0.14	-0.07	0	-0.5	0.34	-0.45	0.2	-0.03	0.34	0.25	0.01	-0.07	0.04	-0.6	0.28	-0.05	0.43
YLR065C	0.19	0.07	0.09	0.1	0.21	0.05	0.39	NA	-0.05	-0.38	-0.15	-0.23	0.23	-0.4	0.23	-0.38	0.35	-0.31
YOR391C	0.2	NA	0.5	-0.27	0.26	0.18	0.08	-0.1	-0.1	-0.1	-0.43	0.01	0.08	-0.29	NA	-0.1	0.1	-0.03
YNL148C	0.03	-0.37	0.14	0.03	0.31	-0.19	0.21	-0.03	0.12	0.06	0.34	-0.03	-0.08	-0.21	-0.08	-0.21	0.09	-0.14
YCL031C	1.09	-0.22	-0.47	-0.37	-0.43	-0.17	-0.09	0.36	-0.01	0.02	-0.09	0.27	-0.1	-0.02	-0.52	0.45	0.04	0.26
